id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249749586937139202,1249739956248969217,1586798495000,2020-04-13,10:21:35,PDT,570414431,clatagi,cherre,,Can’t get a SBA loan and can’t get unemployment because self employed . Please lift stay at home and let us get back to work or we will go into poverty for years plus inflation,['governorlittle'],[],[],2,1,20,[],[],https://twitter.com/clatagi/status/1249749586937139202,False,,0,,,,,,,"[{'user_id': '570414431', 'username': 'clatagi'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1249744709422944256,1249739956248969217,1586797332000,2020-04-13,10:02:12,PDT,2210449753,hovesjanhov,Idahogardener🌷🌸🌺🌻🐝👩‍🌾,,My sister in law died yesterday from Covid-19 in Twin Falls.  #StayHomeStaySafeSaveLives,['governorlittle'],[],[],9,1,16,['#stayhomestaysafesavelives'],[],https://twitter.com/HoveSjanhov/status/1249744709422944256,False,,0,,,,,,,"[{'user_id': '2210449753', 'username': 'HoveSjanhov'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1249744406309154816,1249739956248969217,1586797260000,2020-04-13,10:01:00,PDT,2185012447,characarl1,Chara Carl,,Will you be on @NYGovCuomo call this afternoon? He layed out his re-opening strategy this morning and it seems to be well thought through with experts helping to guide his decisions. The @WhiteHouse was not included except to make sure enough testing is happening. Follow his lead,"['governorlittle', 'nygovcuomo', 'whitehouse']",[],[],3,0,13,[],[],https://twitter.com/characarl1/status/1249744406309154816,False,,0,,,,,,,"[{'user_id': '2185012447', 'username': 'characarl1'}, {'user_id': '41266395', 'username': 'GovernorLittle'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}, {'user_id': '822215673812119553', 'username': 'WhiteHouse'}]",,,,
1249743539350601735,1249739956248969217,1586797053000,2020-04-13,09:57:33,PDT,1107413674908512256,iheart_biology,Jeremy,,#OpenIdaho,['governorlittle'],[],[],0,3,18,['#openidaho'],[],https://twitter.com/iheart_biology/status/1249743539350601735,False,,0,,,,,,,"[{'user_id': '1107413674908512256', 'username': 'iheart_biology'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1249742116051288067,1249739956248969217,1586796714000,2020-04-13,09:51:54,PDT,737967521005895680,candidginger,Anna,,Do not reopen the state too soon. Do not risk Idahoans lives for political gain. Period.,['governorlittle'],[],[],1,2,18,[],[],https://twitter.com/candidginger/status/1249742116051288067,False,,0,,,,,,,"[{'user_id': '737967521005895680', 'username': 'candidginger'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1249740502850650113,1249739956248969217,1586796329000,2020-04-13,09:45:29,PDT,946700684,mkeeley127,IdahoBROWNSFan,,"This is not true. Makes me lose faith in your leadership. Please do what’s best for Idaho, not Trumps re-election.",['governorlittle'],[],[],2,0,23,[],[],https://twitter.com/Mkeeley127/status/1249740502850650113,False,,0,,,,,,,"[{'user_id': '946700684', 'username': 'Mkeeley127'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1248762143358373888,1248760881925648384,1586563070000,2020-04-10,16:57:50,PDT,37027442,dtsidd,Dustin Siddoway,,Stat have changed. Time to open up! Businesses and Idahoans are hurting! Let’s show the country how it’s done!,['governorlittle'],[],[],7,2,24,[],[],https://twitter.com/dtsidd/status/1248762143358373888,False,,0,,,,,,,"[{'user_id': '37027442', 'username': 'dtsidd'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1244767582223101952,1244763045244489728,1585610692000,2020-03-30,16:24:52,PDT,459715372,bjudy90,JAB,,@GovernorLittle please act now & VETO HB500 & HB509. These anti-trans laws will be proven unconstitutional as they discriminate against transgender children. Please save #idaho time and money and veto today.,['governorlittle'],[],[],5,3,34,['#idaho'],[],https://twitter.com/bjudy90/status/1244767582223101952,False,,0,,,,,,,"[{'user_id': '459715372', 'username': 'bjudy90'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1244693740846866435,1244690101226987523,1585593087000,2020-03-30,11:31:27,PDT,1465297584,curtisstigers,Curtis Stigers,,"Why won’t this Idaho legislator whom you personally appointed stop flouting your order?
 https://twitter.com/rebeccaforidaho/status/1244330126063677441?s=21 … https://twitter.com/rebeccaforidaho/status/1244330126063677441 …",['governorlittle'],"['https://twitter.com/rebeccaforidaho/status/1244330126063677441?s=21', 'https://twitter.com/rebeccaforidaho/status/1244330126063677441']",[],2,5,18,[],[],https://twitter.com/curtisstigers/status/1244693740846866435,False,https://twitter.com/rebeccaforidaho/status/1244330126063677441,0,,,,,,,"[{'user_id': '1465297584', 'username': 'curtisstigers'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1243273790861144065,1243273790861144065,1585254545000,2020-03-26,13:29:05,PDT,887406368419794944,ramfambaseball,Highland Rams Baseball,,"@GovernorLittle,

Please let us resume playing on April 15th. Idaho will have had a month of prep for COVID-19 & by then, us not playing won’t help or hurt Idaho. No fans. No buses. 2 umps & play ball.

Be a seniors hero.

Sincerely,

All Idaho baseball players
#LetTheSeniorsPlay",['governorlittle'],[],[],3,20,46,['#lettheseniorsplay'],[],https://twitter.com/ramfambaseball/status/1243273790861144065,False,,0,,,,,,,"[{'user_id': '887406368419794944', 'username': 'ramfambaseball'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242918056721920000,1242918011364765697,1585169731000,2020-03-25,13:55:31,PDT,41266395,governorlittle,Brad Little,,"The statewide stay-home order is being finalized with public health, local officials, and business today and will be available later today at  https://coronavirus.idaho.gov/ . The statewide stay-home order is effective immediately and will remain in effect for at least 21 days.",[],['https://coronavirus.idaho.gov/'],[],43,52,126,[],[],https://twitter.com/GovernorLittle/status/1242918056721920000,False,,0,,,,,,,"[{'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242907637529935872,1242907637529935872,1585167247000,2020-03-25,13:14:07,PDT,15743810,idahogov,IDAHO.gov,,"@GovernorLittle issues statewide stay-home order, signs extreme emergency declaration pic.twitter.com/vEEhRsDVDx",['governorlittle'],[],['https://pbs.twimg.com/media/ET-x59hXsAIOdqs.jpg'],57,188,183,[],[],https://twitter.com/IDAHOgov/status/1242907637529935872,False,,0,,,,,,,"[{'user_id': '15743810', 'username': 'IDAHOgov'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242839502025920512,1242829596648587264,1585151002000,2020-03-25,08:43:22,PDT,20560864,kaimatters,NiMiiPuu Grandma,,Governor Too Little Too Late #IdahoCovid19,"['governorlittle', 'kxly4news']",[],[],1,4,33,['#idahocovid19'],[],https://twitter.com/kaimatters/status/1242839502025920512,False,,0,,,,,,,"[{'user_id': '20560864', 'username': 'kaimatters'}, {'user_id': '41266395', 'username': 'GovernorLittle'}, {'user_id': '7940822', 'username': 'kxly4news'}]",,,,
1242832029382656000,1242829596648587264,1585149221000,2020-03-25,08:13:41,PDT,12850582,deadair_cory,Cory & Company,,I hope it means McDonalds is bringing back the McRib!?,['governorlittle'],[],[],0,0,26,[],[],https://twitter.com/DeadAir_Cory/status/1242832029382656000,False,,0,,,,,,,"[{'user_id': '12850582', 'username': 'DeadAir_Cory'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242798029884854272,1242636095826718720,1585141115000,2020-03-25,05:58:35,PDT,977316534640025601,nancyspeaksout,Nancy Harris,,Might want to give my son a call. He is a math teacher and can explain the meaning of exponential growth to middle schoolers. I’m sure he could make it understandable to you.,['governorlittle'],[],[],3,2,25,[],[],https://twitter.com/NancySpeaksOut/status/1242798029884854272,False,,0,,,,,,,"[{'user_id': '977316534640025601', 'username': 'NancySpeaksOut'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242661100677517314,1242636095826718720,1585108468000,2020-03-24,20:54:28,PDT,759412282698772482,goddessrn10,GoddessRN,,Your announcement damn well better be locking down the state. We are in big trouble and there are still elective surgeries happening up north. Do something right. Your weakness will cost us our loved ones. I know that Paulette Jordan would have handled this already. #pandemic,['governorlittle'],[],[],0,2,25,['#pandemic'],[],https://twitter.com/GoddessRN10/status/1242661100677517314,False,,0,,,,,,,"[{'user_id': '759412282698772482', 'username': 'GoddessRN10'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242657387913203712,1242636095826718720,1585107583000,2020-03-24,20:39:43,PDT,2279385517,smjlaw66,Stephen Johnson,,"It is time, Brad, to show some responsibility and some leadership.  For too long you have been dragging your feet, at the potential cost of lives.  Take a stand and announce a State wide ""shelter in place"" order.  You have already taken too long to step up.  #Idahocovid19",['governorlittle'],[],[],1,1,33,['#idahocovid19'],[],https://twitter.com/SMJLaw66/status/1242657387913203712,False,,0,,,,,,,"[{'user_id': '2279385517', 'username': 'SMJLaw66'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242643619246272513,1242636095826718720,1585104300000,2020-03-24,19:45:00,PDT,2371106492,kc1outtahere,zeldor1030,,"Sorry dude but at a minimum you need to work w neighbor states to at least agree on a regional response absent a national one. Make a regional request for tests, PPE, ventilators etc. Power in numbers. Reciprocity for medical staff across state lines. Come on.","['governorlittle', 'the208ktvb']",[],[],0,1,28,[],[],https://twitter.com/kc1outtahere/status/1242643619246272513,False,,0,,,,,,,"[{'user_id': '2371106492', 'username': 'kc1outtahere'}, {'user_id': '41266395', 'username': 'GovernorLittle'}, {'user_id': '1222937262519771141', 'username': 'the208KTVB'}]",,,,
1242642978004291584,1242636095826718720,1585104147000,2020-03-24,19:42:27,PDT,77886533,tinamwoods,Tina | #MemorablePhilindaMoments,,"Please go have a chat with @NYGovCuomo and do there right thing. Lock it down, sir.","['governorlittle', 'nygovcuomo']",[],[],2,1,36,[],[],https://twitter.com/TinaMWoods/status/1242642978004291584,False,,0,,,,,,,"[{'user_id': '77886533', 'username': 'TinaMWoods'}, {'user_id': '41266395', 'username': 'GovernorLittle'}, {'user_id': '232268199', 'username': 'NYGovCuomo'}]",,,,
1242641867969200129,1242636095826718720,1585103883000,2020-03-24,19:38:03,PDT,25331555,tysidaho,Ty Palmer,,I feel like important announcements shouldn’t wait 17 hours...,['governorlittle'],[],[],2,4,123,[],[],https://twitter.com/TysIdaho/status/1242641867969200129,False,,0,,,,,,,"[{'user_id': '25331555', 'username': 'TysIdaho'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242641306733531137,1242636095826718720,1585103749000,2020-03-24,19:35:49,PDT,859761195049394176,a_research_guru,A_Research_Guru,,"Your good old boy mentality is not working. The geography of our state is insignificant. That should be obvious, since Blaine County is our hotspot. Do your job, lead by example and 🛑 taking kudos from your friend Trump.",['governorlittle'],[],[],1,0,27,[],[],https://twitter.com/A_Research_Guru/status/1242641306733531137,False,,0,,,,,,,"[{'user_id': '859761195049394176', 'username': 'A_Research_Guru'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
1242639293949960192,1242636095826718720,1585103269000,2020-03-24,19:27:49,PDT,2871450784,blake_hagz,Blake Haggett CCIM ⚡️,,Reactive vs Proactive pic.twitter.com/3f9TjzD0ui,['governorlittle'],[],[],0,2,32,[],[],https://twitter.com/blake_hagz/status/1242639293949960192,False,,1,,,,,,,"[{'user_id': '2871450784', 'username': 'blake_hagz'}, {'user_id': '41266395', 'username': 'GovernorLittle'}]",,,,
