id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249676188064403456,1249676188064403456,1586780995000,2020-04-13,05:29:55,PDT,1178791942135701504,adriennemaine,Adrienne Bennett,,@GovJanetMills should rescind her Executive Order distributing unlimited numbers of taxpayer-funded needles for illegal drug use. I oppose similar policies championed by @SenatorBrakey to designate state-approved locations for illegal drug use. #mepolitics pic.twitter.com/kC1lCEydWQ,"['govjanetmills', 'senatorbrakey']",[],['https://pbs.twimg.com/media/EVe8yTZWsAk1k-S.jpg'],2,7,10,['#mepolitics'],[],https://twitter.com/AdrienneMaine/status/1249676188064403456,False,,0,,,,,,,"[{'user_id': '1178791942135701504', 'username': 'AdrienneMaine'}, {'user_id': '1083795319027089408', 'username': 'GovJanetMills'}, {'user_id': '926810064', 'username': 'SenatorBrakey'}]",,,,
1248988653789077504,1248962918311497729,1586617074000,2020-04-11,07:57:54,PDT,808774010716700672,coffeespoonie,"jewish fuckery, B.A.🎓",,I am Jewish and disabled. I will have difficulty making rent next month. What are you doing to help constituents like me?,['govjanetmills'],[],[],2,3,93,[],[],https://twitter.com/coffeespoonie/status/1248988653789077504,False,,0,,,,,,,"[{'user_id': '808774010716700672', 'username': 'coffeespoonie'}, {'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1248978861444005890,1248962918311497729,1586614740000,2020-04-11,07:19:00,PDT,977185420978073600,brettsterlu,Brett,,@govjanetmills I live in an elderly and disabled subsidized housing complex. We've had no power for for over 34 hrs. Several tenants on oxygen haven't had any. Other tenants elderly and fragile. Can anything be done to help us?!?,['govjanetmills'],[],[],4,2,22,[],[],https://twitter.com/brettsterlu/status/1248978861444005890,False,,0,,,,,,,"[{'user_id': '977185420978073600', 'username': 'brettsterlu'}, {'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1248745237268201472,1248745089603522561,1586559039000,2020-04-10,15:50:39,PDT,1083795319027089408,govjanetmills,Governor Janet Mills,,"I recognize the ramifications this has both for voters and those running for office this year, and I appreciate their flexibility as we work to protect our elections and the health of our people. Learn more at:  https://www.maine.gov/governor/mills/news/governor-mills-issues-executive-order-moving-primary-election-july-14th-2020-04-10 … 3/3",[],['https://www.maine.gov/governor/mills/news/governor-mills-issues-executive-order-moving-primary-election-july-14th-2020-04-10'],[],11,11,43,[],[],https://twitter.com/GovJanetMills/status/1248745237268201472,False,,0,,,,,,,"[{'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1248745161808416768,1248745089603522561,1586559021000,2020-04-10,15:50:21,PDT,1083795319027089408,govjanetmills,Governor Janet Mills,,"Today I postponed our primary election to Tuesday, July 14th to provide Maine people with more time to request an absentee ballot and to allow the Secretary of State’s Office to work with municipalities to ensure that in-person voting can be done in as safe a way as possible. 2/",[],[],[],19,21,80,[],[],https://twitter.com/GovJanetMills/status/1248745161808416768,False,,0,,,,,,,"[{'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1247609375063019520,1247609204812083201,1586288229000,2020-04-07,12:37:09,PDT,1083795319027089408,govjanetmills,Governor Janet Mills,,My Administration will continue to work closely with Maine’s hospital systems to expand our capacity to meet the challenges of COVID-19 and its impacts on Maine people. I continue to urge all Maine people to do their part and stay apart. Doing so will save lives. 3/,[],[],[],12,6,37,[],[],https://twitter.com/GovJanetMills/status/1247609375063019520,False,,0,,,,,,,"[{'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1247609286504538112,1247609204812083201,1586288208000,2020-04-07,12:36:48,PDT,1083795319027089408,govjanetmills,Governor Janet Mills,,"I hope we never need to use these alternative care sites, but we cannot afford to wait to find out. Establishing them now will ensure that, if the need does arise, we will be prepared and Maine people will receive appropriate care. 2/",[],[],[],5,3,54,[],[],https://twitter.com/GovJanetMills/status/1247609286504538112,False,,0,,,,,,,"[{'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1246565451049689089,1246565188318498816,1586039338000,2020-04-04,15:28:58,PDT,1225811775804801025,mikethemaineman,Michael Beck,,On behalf of grateful Mainers thank you for kissing the ring.,['govjanetmills'],[],[],0,0,19,[],[],https://twitter.com/MikeTheMaineMan/status/1246565451049689089,False,,0,,,,,,,"[{'user_id': '1225811775804801025', 'username': 'MikeTheMaineMan'}, {'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1246565356501680128,1246565188318498816,1586039315000,2020-04-04,15:28:35,PDT,1083795319027089408,govjanetmills,Governor Janet Mills,,"Maine people are doing their part to defeat this virus, and those additional resources will provide critical support. We will continue to do all we can to protect our state and provide for Maine people who need our help.  https://www.maine.gov/governor/mills/news/governor-mills-announces-approval-federal-disaster-declaration-covid-19-response-maine-2020-04 … 3/3",[],['https://www.maine.gov/governor/mills/news/governor-mills-announces-approval-federal-disaster-declaration-covid-19-response-maine-2020-04'],[],14,5,54,[],[],https://twitter.com/GovJanetMills/status/1246565356501680128,False,,0,,,,,,,"[{'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
1246565268660326402,1246565188318498816,1586039294000,2020-04-04,15:28:14,PDT,1083795319027089408,govjanetmills,Governor Janet Mills,,"I am grateful to Maine’s Congressional Delegation for advocating for this designation, and I am hopeful the President will approve the State’s pending requests for critical resources. 2/",[],[],[],13,6,74,[],[],https://twitter.com/GovJanetMills/status/1246565268660326402,False,,0,,,,,,,"[{'user_id': '1083795319027089408', 'username': 'GovJanetMills'}]",,,,
