id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1256007426391900162,1256007426391900162,1588290480000,2020-04-30,19:48:00,EDT,2396698724,msthornborrow,Audrey Thornborrow,,"@GovTimWalz, you declared 5/1 and 5/4 PD and planning days for MN educators. We have taken that seriously and have planned an entire 2-day FREE distance learning summit for all our MN Ts. Stop by & check out a few sessions. #mndlsummit @MinnesotaSummit  http://mndlsummit.org  pic.twitter.com/P3ZYxzySSk","['govtimwalz', 'minnesotasummit']",['http://mndlsummit.org'],['https://pbs.twimg.com/media/EW47W6rXkAEuj6t.jpg'],2,7,21,['#mndlsummit'],[],https://twitter.com/MsThornborrow/status/1256007426391900162,False,,0,,,,,,,"[{'user_id': '2396698724', 'username': 'MsThornborrow'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}, {'user_id': '1255954526789677056', 'username': 'MinnesotaSummit'}]",,,,
1256001204666224641,1255942637644845060,1588288997000,2020-04-30,19:23:17,EDT,1246113264678903810,grinder_tk,TKGrinder,,How far do you think you can push people?,['govtimwalz'],[],[],0,0,13,[],[],https://twitter.com/grinder_tk/status/1256001204666224641,False,,0,,,,,,,"[{'user_id': '1246113264678903810', 'username': 'grinder_tk'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255999090023968768,1255942637644845060,1588288493000,2020-04-30,19:14:53,EDT,1246113264678903810,grinder_tk,TKGrinder,,How does keeping a dog groomer closed prevent the asymptomatic transmission of Corona virus into a nursing home?,['govtimwalz'],[],[],2,0,22,[],[],https://twitter.com/grinder_tk/status/1255999090023968768,False,,0,,,,,,,"[{'user_id': '1246113264678903810', 'username': 'grinder_tk'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255990914125889536,1255942637644845060,1588286543000,2020-04-30,18:42:23,EDT,1909464990,topdocwbry,Top Doc🇺🇸,,"Enough of your tyranny!!!!  Freeze all of your pay and benifits until MN can work again!!!!  Including your mansion, security, and transportation, it is time for you to live outside of your comfortable bubble like the rest of the MN Public!!  When we open you can get paid!!!",['govtimwalz'],[],[],3,1,19,[],[],https://twitter.com/TopDocWbry/status/1255990914125889536,False,,0,,,,,,,"[{'user_id': '1909464990', 'username': 'TopDocWbry'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255986556374061060,1255942637644845060,1588285504000,2020-04-30,18:25:04,EDT,950089254113366016,imhereitsnow,Find the center,,"""Diversity is our strength"" ... Now let's treat the entire state the same.  Gov. Walz is proving himself as an expert of sloganeering and a complete failure as a leader.  #ReopenM #openMN #EndTheShutdown",['govtimwalz'],[],[],0,4,22,"['#reopenm', '#openmn', '#endtheshutdown']",[],https://twitter.com/ImHereItsNow/status/1255986556374061060,False,,0,,,,,,,"[{'user_id': '950089254113366016', 'username': 'ImHereItsNow'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255985368756891650,1255985368756891650,1588285221000,2020-04-30,18:20:21,EDT,21581261,drgnflms7,Ryan Hills,,@GovTimWalz #MakeTheChange #DrinkLocal @BauhausBrewLabs @BentBrewstiller @UtepilsBrewing (Plz tag your favorite stops that need our help) #MNStrong @MNBeer @TapIntoMN @BeerDabbler pic.twitter.com/mVSx9FwSRJ,"['govtimwalz', 'bauhausbrewlabs', 'bentbrewstiller', 'utepilsbrewing', 'mnbeer', 'tapintomn', 'beerdabbler']",[],['https://pbs.twimg.com/media/EW4oCOHWAAYv1CQ.jpg'],2,6,10,"['#makethechange', '#drinklocal', '#mnstrong']",[],https://twitter.com/drgnflms7/status/1255985368756891650,False,,0,,,,,,,"[{'user_id': '21581261', 'username': 'drgnflms7'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}, {'user_id': '1068995606', 'username': 'BauhausBrewLabs'}, {'user_id': '1148401472', 'username': 'BentBrewstiller'}, {'user_id': '2953791204', 'username': 'UtepilsBrewing'}, {'user_id': '14393158', 'username': 'MNBeer'}, {'user_id': '2484798145', 'username': 'TapIntoMN'}, {'user_id': '34992645', 'username': 'BeerDabbler'}]",,,,
1255984114584506368,1255942637644845060,1588284922000,2020-04-30,18:15:22,EDT,2165754948,ahenkemeyer,Andy Henkemeyer,,All hail Govenor Spread Fear.,['govtimwalz'],[],[],0,0,23,[],[],https://twitter.com/AHenkemeyer/status/1255984114584506368,False,,0,,,,,,,"[{'user_id': '2165754948', 'username': 'AHenkemeyer'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255976116273045504,1255942637644845060,1588283015000,2020-04-30,17:43:35,EDT,829842080478425088,pickles_couger,sk,, pic.twitter.com/AKaSD4B6UA,['govtimwalz'],[],['https://pbs.twimg.com/media/EW4fntNXgAU2XwH.jpg'],2,5,17,[],[],https://twitter.com/pickles_couger/status/1255976116273045504,False,,0,,,,,,,"[{'user_id': '829842080478425088', 'username': 'pickles_couger'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255973056822083585,1255942637644845060,1588282286000,2020-04-30,17:31:26,EDT,718635432,jimhealthpub,Jim Dougherty,,"We call it bringing in poorly credentialed physicians and nurses when tens of thousands of MN professionals are furloughed.  You call it “building out...capacity”.  The only meaningful progress is opening golf courses, useless if you can’t feed your family unless they can graze.",['govtimwalz'],[],[],0,0,16,[],[],https://twitter.com/JimHealthpub/status/1255973056822083585,False,,0,,,,,,,"[{'user_id': '718635432', 'username': 'JimHealthpub'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
1255963048319295494,1255942637644845060,1588279900000,2020-04-30,16:51:40,EDT,1233391318128320514,bake_therapy_,kaRyN,,"Bad decision to punish healthy people who want to try to save their small businesses and go to church, cancer patients who have to push off surgeries for another 2 weeks, and on and on. This is not at all about keeping people safe, look at the numbers, you want to exert control.",['govtimwalz'],[],[],3,1,27,[],[],https://twitter.com/bake_therapy_/status/1255963048319295494,False,,0,,,,,,,"[{'user_id': '1233391318128320514', 'username': 'bake_therapy_'}, {'user_id': '1064603540956565504', 'username': 'GovTimWalz'}]",,,,
