id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249834103660150784,1249781078203576320,1586818645000,2020-04-13,15:57:25,PDT,313427203,justinsandford,Justin Sandford,,"Why are we following CA and WA who are in much worse shape?  There are very few cases in OR - most deaths are coming from nursing homes, not the general population.  There’s zero transparency about what’s going on in OR. There are a total of TEN patients at OHSU as if 4/10",['oregongovbrown'],[],[],3,3,17,[],[],https://twitter.com/JustinSandford/status/1249834103660150784,False,,0,,,,,,,"[{'user_id': '313427203', 'username': 'JustinSandford'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}]",,,,
1249826188454842368,1249818985303965696,1586816758000,2020-04-13,15:25:58,PDT,87586143,organicagroman,OGAF,,Oregonians don’t want free food they want to go back to work and buy their food.,"['oregongovbrown', 'oregonfoodbank']",[],[],3,1,19,[],[],https://twitter.com/OrganicAgroMan/status/1249826188454842368,False,,0,,,,,,,"[{'user_id': '87586143', 'username': 'OrganicAgroMan'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}, {'user_id': '71089405', 'username': 'oregonfoodbank'}]",,,,
1249822499564449792,1249818985303965696,1586815879000,2020-04-13,15:11:19,PDT,2361624991,rosie97213,kat 🌹🇺🇸,,Start opening up Oregon for business.... pic.twitter.com/W3aryFYFuI,"['oregongovbrown', 'oregonfoodbank']",[],['https://pbs.twimg.com/media/EVhC73_U4AAp9fy.jpg'],3,2,15,[],[],https://twitter.com/rosie97213/status/1249822499564449792,False,,0,,,,,,,"[{'user_id': '2361624991', 'username': 'rosie97213'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}, {'user_id': '71089405', 'username': 'oregonfoodbank'}]",,,,
1249820244664868866,1249818985303965696,1586815341000,2020-04-13,15:02:21,PDT,1113092996709281792,justheatheranne,Heather Vanderhoff,,Maybe you could work on getting people their unemployment without weeks worth of hoops OR let us work!!,"['oregongovbrown', 'oregonfoodbank']",[],[],3,0,14,[],[],https://twitter.com/JustHeatherAnne/status/1249820244664868866,False,,0,,,,,,,"[{'user_id': '1113092996709281792', 'username': 'JustHeatherAnne'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}, {'user_id': '71089405', 'username': 'oregonfoodbank'}]",,,,
1249798501665353728,1249781078203576320,1586810157000,2020-04-13,13:35:57,PDT,32540840,jaywhiteeagle,JayWhiteEagle,,"I just LOVE being an Oregonian! I look forward to the day our three states (Oregon, California and Washington) extend this compact to create a permanent regional enclave of social justice, educational opportunities and economic dignity for ALL who live within our borders.",['oregongovbrown'],[],[],0,0,32,[],[],https://twitter.com/JayWhiteEagle/status/1249798501665353728,False,,0,,,,,,,"[{'user_id': '32540840', 'username': 'JayWhiteEagle'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}]",,,,
1249788823787024389,1249781078203576320,1586807850000,2020-04-13,12:57:30,PDT,1105267832252596224,desireechilton,Desireechilton,,Can we get some clarity on how having the same cadence and parameters for reopening the economy of the 4.1 million people here in Oregon should be the same as the 39 million in California?,['oregongovbrown'],[],[],6,3,40,[],[],https://twitter.com/desireechilton/status/1249788823787024389,False,,0,,,,,,,"[{'user_id': '1105267832252596224', 'username': 'desireechilton'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}]",,,,
1249787496369500160,1249781078203576320,1586807533000,2020-04-13,12:52:13,PDT,213760486,thatadamsmith,Adam J Smith,,"And that, children, is how the nation of Cascadia was born.",['oregongovbrown'],[],[],7,11,87,[],[],https://twitter.com/THATadamsmith/status/1249787496369500160,False,,0,,,,,,,"[{'user_id': '213760486', 'username': 'THATadamsmith'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}]",,,,
1249786699829239808,1249781078203576320,1586807343000,2020-04-13,12:49:03,PDT,822278901242044418,wintheday73,Jake,,Oregon is in much much much better shape than Washington and California. Why follow theirs lead? Why not just do it the Oregon Way. Open up Oregon please my businesses will never recover from this financially,['oregongovbrown'],[],[],12,11,70,[],[],https://twitter.com/wintheday73/status/1249786699829239808,False,,0,,,,,,,"[{'user_id': '822278901242044418', 'username': 'wintheday73'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}]",,,,
1249785265708646401,1249781078203576320,1586807001000,2020-04-13,12:43:21,PDT,822577409434222592,no1listened,Tess at home in PDX,,"Cascadia seems a good name for a country.
WA, OR, CA would be a great country.",['oregongovbrown'],[],[],8,2,14,[],[],https://twitter.com/no1listened/status/1249785265708646401,False,,0,,,,,,,"[{'user_id': '822577409434222592', 'username': 'no1listened'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}]",,,,
1249784515729305600,1249781078203576320,1586806823000,2020-04-13,12:40:23,PDT,354048709,speculawyer,Speculawyer 🇳🇴-American,,"Californian here, glad to team up with you Governor Brown.

Looking forward to you, @GavinNewsom, and @GovInslee using SCIENCE to guide your decisions.","['oregongovbrown', 'gavinnewsom', 'govinslee']",[],[],1,3,53,[],[],https://twitter.com/speculawyer/status/1249784515729305600,False,,0,,,,,,,"[{'user_id': '354048709', 'username': 'speculawyer'}, {'user_id': '3023272478', 'username': 'OregonGovBrown'}, {'user_id': '11347122', 'username': 'GavinNewsom'}, {'user_id': '1077214808', 'username': 'GovInslee'}]",,,,
